id,user_id,scenario_type,move_type,start_datetime,end_datetime,start_position,end_position,distance
102, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:10:16", "2024-4-10 10:10:16", "13014.540039,-3819.385742", "13064.3125,-4127.725586", "3.123311"
103, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:10:25", "2024-4-10 10:10:25", "13046.391602,-4131.361816", "13097.457031,-4348.787109", "2.233415"
104, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:10:27", "2024-4-10 10:10:28", "13103.90332,-4346.291504", "13208.557617,-4450.0", "1.473362"
105, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:10:29", "2024-4-10 10:10:29", "13208.738281,-4444.356445", "13063.800781,-4377.0", "1.598236"
106, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:10:30", "2024-4-10 10:10:30", "13062.412109,-4376.916016", "12912.635742,-4302.105469", "1.6742"
107, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:10:36", "2024-4-10 10:10:36", "12909.015625,-4304.770996", "13084.091797,-4152.93457", "2.317452"
108, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:11:11", "2024-4-10 10:11:11", "13085.78125,-4179.508789", "12772.375977,-4269.040039", "3.259422"
109, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:11:12", "2024-4-10 10:11:12", "12772.545898,-4268.220703", "12460.009766,-4360.0", "3.257333"
110, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:11:19", "2024-4-10 10:11:19", "12468.517578,-4334.033203", "12851.396484,-4009.056396", "5.022019"
111, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:11:23", "2024-4-10 10:11:23", "12842.108398,-4014.696777", "12839.412109,-4276.63623", "2.619532"
112, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:11:34", "2024-4-10 10:11:34", "12830.991211,-4278.39502", "13050.448242,-4276.707031", "2.194638"
113, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:11:34", "2024-4-10 10:11:34", "13055.620117,-4273.097168", "13238.770508,-4336.410645", "1.937851"
114, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:11:40", "2024-4-10 10:11:40", "13216.43457,-4330.969238", "12907.664062,-4407.695312", "3.181602"
115, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:11:46", "2024-4-10 10:11:46", "12891.430664,-4362.114746", "12766.804688,-4233.253906", "1.79267"
116, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:11:46", "2024-4-10 10:11:47", "12762.166992,-4236.211426", "12608.417969,-4057.098633", "2.36051"
117, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:11:47", "2024-4-10 10:11:47", "12608.676758,-4056.950684", "12467.180664,-3943.103027", "1.816105"
118, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:11:51", "2024-4-10 10:11:51", "12447.349609,-3930.83252", "12364.803711,-3748.697021", "1.99968"
119, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:11:55", "2024-4-10 10:11:55", "12385.663086,-3779.294434", "12516.712891,-3998.4104", "2.55315"
120, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:11:56", "2024-4-10 10:11:56", "12521.31543,-3996.984375", "12639.244141,-4229.764648", "2.609477"
121, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:11:57", "2024-4-10 10:11:57", "12649.822266,-4240.482422", "12775.854492,-4334.196777", "1.570551"
122, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:12:6", "2024-4-10 10:12:6", "12774.856445,-4363.010254", "13046.017578,-4212.91748", "3.099297"
123, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:12:7", "2024-4-10 10:12:7", "13046.964844,-4212.432129", "13210.0,-4110.051758", "1.925158"
124, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:12:13", "2024-4-10 10:12:13", "13198.682617,-4110.499023", "13210.0,-3729.732422", "3.809346"
125, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:12:13", "2024-4-10 10:12:13", "13213.9375,-3729.620117", "13250.358398,-3331.075195", "4.002056"
126, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:12:15", "2024-4-10 10:12:16", "13249.321289,-3353.762207", "13200.0,-3480.0", "1.355307"
127, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:12:16", "2024-4-10 10:12:16", "13189.479492,-3488.995361", "13201.810547,-3780.358398", "2.916238"
128, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:12:21", "2024-4-10 10:12:21", "13182.008789,-3774.711182", "12922.880859,-3882.80835", "2.807712"
129, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:12:21", "2024-4-10 10:12:21", "12921.899414,-3887.262451", "12665.704102,-3939.625977", "2.614922"
130, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:12:22", "2024-4-10 10:12:22", "12664.074219,-3943.573486", "12416.983398,-3989.744873", "2.513673"
131, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:12:22", "2024-4-10 10:12:22", "12419.602539,-3987.282715", "12230.0,-4037.813232", "1.962204"
132, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:12:28", "2024-4-10 10:12:28", "12274.131836,-4054.969971", "12542.296875,-3900.348389", "3.095481"
133, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:12:29", "2024-4-10 10:12:30", "12539.913086,-3899.321045", "12923.310547,-3838.394775", "3.88208"
134, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:12:33", "2024-4-10 10:12:33", "12928.055664,-3838.543945", "13210.0,-4003.082275", "3.26444"
135, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:12:38", "2024-4-10 10:12:38", "13191.109375,-4009.773193", "12856.068359,-4019.456299", "3.351812"
136, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:12:39", "2024-4-10 10:12:39", "12858.118164,-4024.542969", "12576.367188,-4035.989014", "2.819835"
137, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:12:40", "2024-4-10 10:12:40", "12575.916016,-4036.816895", "12272.431641,-4049.351318", "3.037432"
